Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Malta,19.6129985,12.9450024,15.8150009,21.7720011,11.590998,21.2016405,9.0750699,8.8473596,6.5857612,8.6434385,8.8105016,9.0843982,8.8342425,10.562217,15.5230233,16.2784546,28.8119257,15.906515,22.7471165,14.1236398,12.027799,15.5570067,20.9978384,22,,,,,
   Netherlands,2382.753011,2487.661011,3260.867014,2719.452004,2122.206012,2293.421015,2509.358212,2366.72782,1960.91752,1471.248917,1859.77168,1677.07829,1573.917885,1742.501889,1978.140635,1926.930968,2128.78806,2292.091067,1323.56366,897.8116087,1347.082288,909.250259,1382.460759,1625,,,,,
   Poland,334.5920014,243.0240021,1650.229026,1544.714877,1742.163407,1636.660097,1755.456208,1966.017606,1964.537617,1985.305037,2045.587692,2222.425077,2201.128864,2242.11607,2281.107445,2267.429574,1993.07653,1554.364851,1681.087206,2001.007687,2155.712018,2034.287928,1936.126692,1669,,,,,
   Portugal,467.0189996,448.3889996,572.9140007,529.1770023,672.8110024,632.178999,615.0945992,602.8805005,695.8544007,736.9021018,646.3940922,745.4962916,719.5821928,657.3692826,762.6503143,744.2368889,768.0140824,768.8582821,746.5084817,731.0854139,812.1722278,858.9247851,828.0796456,840,,,,,
   Romania,441.5340034,335.4170121,600.6830223,419.5900155,347.0469961,549.7760057,696.168,630.3010049,584.4650038,506.8734077,551.0259948,632.5168953,737.5490064,754.9938936,818.2387046,857.0627917,835.1256111,823.5732369,806.767141,774.9448214,795.8747431,801.9002007,849.2236104,891,,,,,
   Slovakia,,,,275.6959934,233.55522,222.9942398,244.4693742,234.4557885,241.4932251,249.0184932,263.3157415,283.7148754,275.2957982,285.4262863,283.1756553,293.2365048,280.9030874,356.3345739,341.0349294,212.7452448,337.0669734,387.7413126,201.0764773,328,,,,,
   Slovenia,,,115.4989991,147.5879977,152.0600034,139.5290004,163.8322315,160.7265888,162.0289662,170.5529448,172.6641424,182.8490011,188.4655142,166.5988968,184.9618615,181.471872,175.6884316,194.9588755,194.1698724,198.2751228,205.0660836,207.7191547,184.991224,184,,,,,
   Spain,2713.713,2651.268001,3044.679002,2727.611,2774.188001,2731.736003,2901.202203,2977.133299,2996.362501,3324.0301,2991.363838,2795.025489,2833.03628,2740.398901,2705.412203,3007.24956,3016.648431,3198.113102,3485.475582,3351.866483,3231.861505,3148.731131,3435.225278,3234,,,,,
   Sweden,1689.342,1603.556994,1634.134995,1618.394002,1669.373001,1203.841991,1297.798791,1240.741089,1248.124691,1279.221194,1173.089486,1251.447987,1224.352004,1178.293186,1233.506189,1169.831743,1315.035556,1244.305656,1272.45469,1132.892674,1221.449083,1125.013125,1159.329877,1175,,,,,
   United Kingdom,2348.08701,2341.740004,2516.008008,2533.688011,2639.738012,2199.806018,2406.060516,2440.766518,2587.820315,2275.764312,2342.282593,2214.825152,2260.7401,2235.795821,2458.4959,2680.234475,3058.788719,2823.698258,3067.431545,3220.111866,3134.144304,2925.449461,2925.873324,2828,,,,,
Japan,5059.848004,5808.974002,5132.431998,5739.836005,5973.032006,6116.008006,5837.947004,5968.169,6051.945003,6272.902,6625.65991,6935.594938,6874.694943,6769.771949,7116.97995,7127.950949,7268.186316,7282.082552,7064.685113,7130.40346,7192.398002,7014.85381,7130.946647,7435,7494,7695,7872,7742,7833.595668
Norway,726.6640023,757.6529997,736.464001,690.2300011,799.61,657.1400004,713.2946015,675.019402,702.4738002,785.173602,657.200694,709.938594,692.2479945,683.0016581,708.9383708,743.4161967,721.2665981,771.4217104,714.555655,715.2394977,745.6995295,785.1266543,723.3666752,763,729,788,782,781,734.1667393
Russian Federation,,,1377.157008,1794.731013,1712.206019,1650.292013,1063.122006,1857.460179,1647.071621,1351.710435,1863.096809,3032.098612,3451.43079,3678.976985,3076.578237,3184.757959,3220.811372,3977.437932,3632.580114,3112.871956,3700.279793,3754.190254,3696.164301,3648,4021,3846,4439,4512,4233.503774
Switzerland,907.4790035,948.8900007,994.8910031,868.7910049,944.3770038,935.1260026,922.0929996,712.4299971,810.5270007,862.7050016,826.9300283,816.0902158,821.0258781,852.4299329,722.0164368,1099.332449,931.8893723,988.9741938,1149.30169,965.5446285,1011.808333,1034.974306,1047.082494,1123,1028,1096,1066,894,1170.286972
Tunisia,100.999998,90.2010012,110.5830012,100.6240008,137.2670004,136.7830008,143.6500008,164.6170008,147.417,185.4045404,191.7425547,231.7800844,234.173039,119.6613939,262.9766299,189.7958557,200.4041458,253.3957801,317.4853005,288.7271606,301.4742487,415.3742658,421.1362765,429,460,458,465,546,532.8003905
USA,18297.618,18661.18,18290.453,19217.137,17326.10399,17362.87099,18059.00079,17795.44819,18603.79869,19359.42769,18745.56372,19553.65381,19124.51091,20192.67764,20972.76292,20997.54404,20667.37958,21033.2731,21652.42701,21435.96711,21783.45792,22043.89138,22231.66371,23417,23767,24438,25243,26183,26514.3274
